created_at,model_version,git_commit_hashID,train_start_date,train_end_date,test_start_date,test_end_date,train_records,test_records,演出_rmse,スペック_rmse,コンテンツ_rmse,話題性_rmse,コンセプト性_rmse,時期_rmse,販売台数_rmse,稼働貢献実績_rmse,収益貢献実績_rmse,価格_rmse,粗利益_rmse,貢献週_rmse
2024-12-09-16-00-42,1_1_20241209160042,a6a2b6e8527e4bf24419ea9b5dad6474c78cb378,2015-03-02 09:29:24,2023-12-06 14:57:49,2023-12-11 16:18:01,2024-08-08 16:10:15,857,63,0.2498412194187238,0.2425067500287853,0.4404633202752943,0.3080275188695848,0.3315428100873775,0.3840572873934305,0.2956026934602463,0.4956156985355898,0.4531634835874829,0.875821609726257,297633.3736461013,7.478604973475579
2024-12-09-16-06-55,1_2_20241209160655,78ec9b44fbd5d0d1eefb4191c1474dbdf2091975,2015-03-02 09:29:24,2023-12-06 14:57:49,2023-12-11 16:18:01,2024-08-08 16:10:15,857,63,0.2498412194187238,0.2425067500287853,0.4404633202752943,0.3080275188695848,0.3315428100873775,0.3840572873934305,0.2956026934602463,0.4956156985355898,0.4531634835874829,0.875821609726257,297633.3736461013,7.478604973475579
2024-12-09-16-22-14,1_3_20241209162214,0fb69a45e4c1593ef09af5a429c03f927e2b0a80,2015-03-02 09:29:24,2023-12-06 14:57:49,2023-12-11 16:18:01,2024-08-08 16:10:15,857,63,0.2498412194187238,0.2425067500287853,0.4404633202752943,0.3080275188695848,0.3315428100873775,0.3840572873934305,0.2956026934602463,0.4956156985355898,0.4531634835874829,0.875821609726257,297633.3736461013,7.478604973475579
2024-12-10-01-00-14,1_4_20241210010014,b3ebe0e082634251c682aba28b67afc963ce29db,2015-03-02 09:29:24,2023-12-06 14:57:49,2023-12-11 16:18:01,2024-08-08 16:10:15,857,63,0.2498412194187238,0.2425067500287853,0.4404633202752943,0.3080275188695848,0.3315428100873775,0.3840572873934305,0.2956026934602463,0.4956156985355898,0.4531634835874829,0.875821609726257,297633.3736461013,7.478604973475579
2024-12-11-01-00-14,1_5_20241211010014,f05d8d2ccd13e5ef42cc2dc9de19fc9b473a20c6,2015-03-02 09:29:24,2023-12-11 16:22:12,2023-12-12 15:34:01,2024-08-08 16:10:15,859,61,0.2427641370332698,0.248190170344713,0.4482205253491436,0.3021778870298686,0.337055718505189,0.369370310433186,0.2928799899695951,0.4790701375804085,0.4537186967028193,0.8796422521703234,242559.0223777528,6.404942357431422
2024-12-12-01-00-15,1_6_20241212010015,97428df2408bc9245bb865c8f4592e5c946c189e,2015-03-02 09:29:24,2023-12-12 16:41:06,2023-12-19 15:34:58,2024-08-08 16:10:15,861,59,0.2426024159059217,0.243038673075232,0.4491045705114092,0.2977315364495507,0.3184310052189418,0.3527134526226877,0.2893593156601702,0.4719235789900518,0.4554751663028887,0.9009176113124224,245054.8286314048,7.25176737609168
